Reference, Quantity, Value, Footprint, Datasheet, MPN, ConradPN, Label, Link
AFF101 AFF102 AFF103 AFF104 ,4,NKR161B,ClockFootprints:161_163_Series,,"NKR161B","N/A","Value","http://www.digikey.de/product-search/en?pv311=29&FV=fff40008%2Cfff80024%2C940001%2C980009%2C10c0001%2C3440002%2C4dc0005%2C4dc001d%2C4dc0043%2C4dc0044%2C4dc005c%2C4dc0068%2C4dc006a%2C4dc0073%2C4dc007d%2C4dc0080%2C4dc008a&k=LED&mnonly=0&newproducts=0&ColumnSort=0&page=1&stock=1&quantity=0&ptm=0&fid=0&pageSize=100"
C101 ,1,10u,Capacitors_SMD:c_elec_4x5.8,http://industrial.panasonic.com/lecs/www-data/pdf/ABA0000/ABA0000CE120.pdf,"EEE-FK1C100R","443516 - 62","Value","http://www.digikey.com/product-detail/en/EEE-FK1C100R/PCE3782CT-ND/766158"
C102 ,1,0.1u,Capacitors_SMD:C_0805_HandSoldering,
D101 ,1,Colon1,LEDs:LED-0805,,"Value","Value",,
D102 ,1,Colon2,LEDs:LED-0805,,"Value","Value",,
D103 ,1,Alarm,LEDs:LED-0805,,"Value","Value",,
D104 ,1,Auto,LEDs:LED-0805,,"Value","Value",,
P101 ,1,CONN_01X05,Pin_Headers:Pin_Header_Straight_1x05,
R101 ,1,25K,Resistors_SMD:R_0805_HandSoldering,
R102 R103 R104 R105 ,4,0,Resistors_SMD:R_0805_HandSoldering,
U101 ,1,MAX7221,ClockFootprints:SOIC-24,http://www.produktinfo.conrad.com/datenblaetter/150000-174999/170137-da-01-en-IC_MAX7221EWG_SOL24L.pdf,"MAX7221","170137 - 62","Value","http://www.conrad.de/ce/de/product/170137/Linear-IC-Maxim-Integrated-MAX7221EWG-Gehaeuseart-SO-24L-Ausfuehrung-8-Digit-LED-Display-Driver?ref=searchDetail"